Feature,Correlation
Points_won,1.0
First_votes,0.8558235602247863
Dpoy_titles,0.29023246726449
DWS_advanced,0.2481469169227177
Dpoy_votes,0.23525179564090312
BLK_nba,0.23385013091618143
war_total_raptor,0.2257728865103518
BLK,0.21692315966669373
WINS_espn,0.21165205901855355
war_reg_season_raptor,0.21002894462575322
VORP_advanced,0.20416929291555944
WS_advanced,0.19553453347418798
D-LEBRON_bball,0.19434892483166608
DREB_nba,0.18600323544273203
DRB,0.18259341336233145
TRB,0.1751218093832409
DEF WS_nba,0.1700126234928996
DRPM_espn,0.1594528922302571
RPM_espn,0.15196497121418534
predator_defense_raptor,0.13158712076693352
GS,0.1309061912824155
mp_raptor,0.12246874656697766
W_nba,0.12162748405938371
poss_raptor,0.12151769714633506
predator_total_raptor,0.11649289820100632
raptor_defense_raptor,0.11489079801016047
MP_100_poss,0.11462654214824562
MP_advanced,0.11462654214824562
STL_nba,0.11134281438529454
DRtg_100_poss,0.10889552367655463
raptor_total_raptor,0.10727746553708611
%BLK_nba,0.10557176302837948
MIN_nba,0.1033014019226519
MPG_espn,0.10314844515662097
STL,0.10238663884261287
MP,0.10171965128321236
DBPM_advanced,0.09627265993844987
BLK%_advanced,0.09551398757770581
DREB%_nba,0.09449588912975866
BLK_100_poss,0.09430453243307012
DRB_100_poss,0.09425575010418626
DRB%_advanced,0.09032419915710677
%DREB_nba,0.08839837464365269
PER_advanced,0.08838901853356543
OPP PTS OFF TOV_nba,0.08736277698286049
OPP PTS PAINT_nba,0.08650847494539288
OPP PTS 2ND CHANCE_nba,0.08602276928318639
MOV_misc,0.08596757468231793
TOV,0.08538457794395503
SRS_misc,0.08484427046816172
PW_misc,0.0843521771796652
W_misc,0.08191527224754115
PL_misc,0.08117838569272137
OPP PTS FB_nba,0.0806988083311077
TRB_100_poss,0.08056526234677915
WS/48_advanced,0.08027897135042777
TRB%_advanced,0.07970426424273236
L_misc,0.0789530636500177
GP_espn,0.07430361255372853
GP_nba,0.07414488475135528
G,0.07390128191216079
PF,0.07378936706996252
FG%_opponent,0.06876487891547887
DRtg_misc,0.06636408883434529
BPM_advanced,0.04895449140033144
BLK_team,0.04614218412620937
2P%_opponent,0.04565824927567688
SOS_misc,0.045224825455252575
DRB%_misc,0.042746660415026574
AST_opponent,0.04080430144762224
3P%_opponent,0.04069603214524572
DRB_team,0.039202685274822686
STL%_nba,0.03783348798297801
FT_opponent,0.03169030647229759
FTA_opponent,0.030553578539150472
PF_100_poss,0.02959783627731148
ORB_opponent,0.023850900501859017
PF_team,0.023812887906472364
TRB_team,0.02359134666761869
pace_impact_raptor,0.022274370575175055
DEF RTG_nba,0.02200544464610202
2P_opponent,0.01965540415024536
STL_100_poss,0.019084550535168818
STL%_advanced,0.019084550535168818
AST_team,0.015061158507791479
TRB_opponent,0.012208924386753615
teamates_with_dpoy,0.010529911526806428
TOV_team,0.009791321375018085
TOV%_misc,0.008448632351493108
TOV_100_poss,0.006252889296830353
Pace_misc,0.005256315566860695
Age,0.005245981568968942
FGA_opponent,0.004954757884729614
STL_team,0.004085849608786537
FT%_opponent,0.003729798250549708
3PA_opponent,0.0031087887345441116
TOV%.1_misc,0.002800593597648728
3P_opponent,0.002070303639224259
2PA_opponent,0.0017752457156466727
