Feature,correlation,p-value
First_votes,0.8558235602248035,0.0
Dpoy_titles,0.2902324672644908,1.64955143416e-313
DWS_advanced,0.2481469169227111,4.997202301307417e-227
Dpoy_votes,0.23525179564090185,1.3470984040810426e-203
BLK_nba,0.23385013091617352,3.908984892487107e-201
war_total_raptor,0.22577288651034483,2.91918287854746e-187
war_playoffs_raptor,0.22516477143123617,3.0753474826781603e-186
BLK,0.21692315966668724,1.1169848184892573e-172
WINS_espn,0.21165205901854972,2.6934280748069167e-164
war_reg_season_raptor,0.21002894462574712,9.249254150319861e-162
VORP_advanced,0.20416929291555294,8.791535788501411e-153
WS_advanced,0.195534533474183,4.712387643635345e-140
D-LEBRON_bball,0.19434892483167032,2.37006537672857e-138
DREB_nba,0.18600323544272512,1.0918013844551999e-126
DRB,0.1825934133623281,4.427008302258099e-122
TRB,0.1751218093832365,2.668173597700586e-112
DEF WS_nba,0.17001262349289464,7.327072223332526e-106
DRPM_espn,0.1594528922302531,3.441123716725933e-93
RPM_espn,0.1519649712141816,1.0162859760699069e-84
OWS_advanced,0.13698948150176715,4.766768497190663e-69
FTA,0.13379912441509934,6.307805526877195e-66
predator_defense_raptor,0.13158712076693002,8.313576403088252e-64
GS,0.13090619128241357,3.6732589838715943e-63
ORB,0.12947101444932185,8.199565256001363e-62
mp_raptor,0.12246874656697428,1.8867731754392637e-55
W_nba,0.12162748405937975,1.0368063502052065e-54
poss_raptor,0.1215176971463318,1.2938446429728247e-54
predator_total_raptor,0.11649289820100428,2.6257175477842246e-50
raptor_defense_raptor,0.11489079801015742,5.670649099384116e-49
MP_100_poss,0.11462654214824208,9.373972579046072e-49
MP_advanced,0.11462654214824208,9.373972579046072e-49
STL_nba,0.11134281438529044,4.383738771431345e-46
FT,0.10904994640336607,2.880067813666212e-44
DRtg_100_poss,-0.1088955236765512,3.8057029447531964e-44
2P,0.10822536778559365,1.2696077635880512e-43
raptor_total_raptor,0.10727746553708337,6.8892182376111006e-43
%BLK_nba,0.10557176302837602,1.3911887486789682e-41
MIN_nba,0.10330140192264868,7.044569579748412e-40
MPG_espn,0.10314844515661815,9.148287034871829e-40
STL,0.10238663884260991,3.342161565806718e-39
MP,0.10171965128321053,1.0309119345349172e-38
DBPM_advanced,0.096272659938447,7.719732257441258e-35
BLK%_advanced,0.09551398757770369,2.571628766121083e-34
FG,0.09524162355405455,3.951938276589932e-34
PTS,0.09498231266804993,5.942529247956284e-34
DREB%_nba,0.09449588912975719,1.273463672810821e-33
BLK_100_poss,0.09430453243306695,1.7168736806187265e-33
DRB_100_poss,0.09425575010418312,1.852565364840475e-33
DRB%_advanced,0.09032419915710413,7.478215940176551e-31
2PA,0.08960215600668316,2.18930084779648e-30
%DREB_nba,0.08839837464365141,1.2874347594858897e-29
PER_advanced,0.08838901853356361,1.3051624593185985e-29
OPP PTS OFF TOV_nba,0.0873627769828584,5.798482355314682e-29
OPP PTS PAINT_nba,0.0865084749453897,1.9800973196587359e-28
OPP PTS 2ND CHANCE_nba,0.0860227692831833,3.9590848987772663e-28
MOV_misc,0.08596757468231564,4.282351539600512e-28
TOV,0.085384577943953,9.781364932170241e-28
SRS_misc,0.08484427046815962,2.092540134555289e-27
PW_misc,0.08435217717966281,4.1653863575638164e-27
W_misc,0.08191527224753888,1.187641019889207e-25
PL_misc,-0.08117838569271907,3.2084674938831722e-25
OPP PTS FB_nba,0.08069880833110622,6.096942023783165e-25
TRB_100_poss,0.08056526234677704,7.285506494609901e-25
WS/48_advanced,0.08027897135042558,1.066216460547167e-24
TRB%_advanced,0.07970426424272935,2.280743898115538e-24
L_misc,-0.07895306365001595,6.1117443510154154e-24
GP_espn,0.07430361255372715,2.2192805569180966e-21
GP_nba,0.07414488475135453,2.6970662280437442e-21
G,0.07390128191215947,3.634981407953468e-21
FGA,0.07389019691194551,3.684597077038985e-21
PF,0.07378936706996002,4.16778919005038e-21
FG%_opponent,-0.06876487891548,1.5674364144090869e-18
DRtg_misc,-0.06636408883434664,2.304085238411259e-17
predator_offense_raptor,0.06252710987327653,1.3915025064823012e-15
FG%_100_poss,0.05588424691658651,9.58418721333248e-13
FG%,0.05588424691658651,9.58418721333248e-13
raptor_offense_raptor,0.0538308921073279,6.2535387084305296e-12
FTA_100_poss,0.05359849195902284,7.699444152019851e-12
2P_100_poss,0.05348518416256709,8.518533846635181e-12
FT_100_poss,0.04998768720649426,1.7437042024553096e-10
FTr_advanced,0.04972794090704982,2.1649010048192734e-10
ORPM_espn,0.04972326206032837,2.173333322309334e-10
AST,0.049193579144851445,3.3671994147173483e-10
BPM_advanced,0.048954491400330424,4.0968957495659445e-10
eFG%.1_misc,-0.04671323780992679,2.4641255965881448e-09
PTS_100_poss,0.046305508554550234,3.385810611417644e-09
BLK_team,0.04614218412620836,3.842532657929946e-09
2P%_100_poss,0.04604829524206915,4.131665907700259e-09
2P%,0.04604829524206915,4.131665907700259e-09
2P%_opponent,-0.04565824927567901,5.576523366243981e-09
SOS_misc,-0.045224825455251624,7.759754928872547e-09
eFG%,0.043926288263817434,2.0508491215958807e-08
ORtg_100_poss,0.04308993068502989,3.7810181446551615e-08
TS%_advanced,0.04305630343400474,3.874266891950661e-08
DRB%_misc,0.04274666041502505,4.844522460229966e-08
FG_100_poss,0.04267511792249166,5.1001461184064706e-08
AST_opponent,-0.04080430144762144,1.9011041486939112e-07
3P%_opponent,-0.04069603214524507,2.048032612260529e-07
eFG%_misc,0.04001657882290739,3.253789617976306e-07
DRB_team,0.039202685274821375,5.611015286949713e-07
