,Feature Names,Coefficient_Magnitude_RidgeCV
0,First_votes,0.9999894160964237
1,Dpoy_titles,0.00012975934153484616
2,FT%_opponent,2.4612377436838996e-05
3,Dpoy_votes,1.6554232164251966e-05
4,TOV%_misc,1.5083259009475864e-05
5,MOV_misc,1.4883528036040605e-05
6,SOS_misc,1.4066351976073101e-05
7,SRS_misc,1.3582072644105161e-05
8,BLK_100_poss,1.1140865565750034e-05
9,STL_nba,1.0805880867222421e-05
10,BLK%_advanced,8.223839569312437e-06
11,BLK,6.562340366405293e-06
12,DRtg_misc,6.560429701782164e-06
13,DREB_nba,4.850420197966113e-06
14,BLK_nba,4.320896078024469e-06
15,FG%_opponent,3.93860730146612e-06
16,DWS_advanced,3.3778140386723243e-06
17,OPP PTS 2ND CHANCE_nba,3.292566950188404e-06
18,DRB_100_poss,2.9646963414837498e-06
19,Pace_misc,2.9054378252086916e-06
20,DEF WS_nba,2.6754444270416907e-06
21,2P%_opponent,2.3964975208810415e-06
22,3P%_opponent,2.3272883959806855e-06
23,VORP_advanced,2.2806159531329863e-06
24,TOV%.1_misc,2.1531225177070167e-06
25,STL,2.1111082589812615e-06
26,predator_total_raptor,1.9541376124486057e-06
27,DRPM_espn,1.7712937289693877e-06
28,war_reg_season_raptor,1.6642616001489083e-06
29,DRB,1.50209693613477e-06
30,raptor_total_raptor,1.3511179862488577e-06
31,PF,1.2550211749539194e-06
32,war_total_raptor,1.2344743136876325e-06
33,DRB%_advanced,1.185154111058343e-06
34,predator_defense_raptor,1.0745413130701096e-06
35,OPP PTS OFF TOV_nba,1.0506505693753742e-06
36,STL_100_poss,9.307858710506108e-07
37,STL%_advanced,9.307858710506108e-07
38,WS/48_advanced,8.753081701743775e-07
39,DRtg_100_poss,8.575780225850255e-07
40,TRB,8.210989051532302e-07
41,pace_impact_raptor,7.963626455970791e-07
42,BPM_advanced,7.791080177866781e-07
43,RPM_espn,7.760187678613129e-07
44,TOV,7.346483332203484e-07
45,TRB_100_poss,6.388485305005459e-07
46,DRB%_misc,5.211621034589831e-07
47,%DREB_nba,4.986997627822864e-07
48,raptor_defense_raptor,4.829362699277029e-07
49,TRB%_advanced,4.5671998187495175e-07
50,OPP PTS PAINT_nba,4.211417079558232e-07
51,DBPM_advanced,3.9126247492293896e-07
52,DREB%_nba,3.637731687400602e-07
53,PER_advanced,3.483294696857133e-07
54,PF_100_poss,3.4758668516045657e-07
55,MPG_espn,2.9399510399636124e-07
56,3P_opponent,2.696413523061228e-07
57,WS_advanced,2.411057614761826e-07
58,TOV_team,1.824271777587077e-07
59,poss_raptor,1.7816163941451052e-07
60,W_nba,1.76117452860622e-07
61,2P_opponent,1.7047809733154728e-07
62,PL_misc,1.6961940437745706e-07
63,PW_misc,1.6961940437745706e-07
64,WINS_espn,1.5915893652329802e-07
65,%BLK_nba,1.3429665829783042e-07
66,Age,1.0916161635335191e-07
67,OPP PTS FB_nba,1.0797445138638703e-07
68,mp_raptor,1.0229542366099135e-07
69,MP_advanced,8.142518549691946e-08
70,MP_100_poss,8.142518549691946e-08
71,GP_nba,8.050150283813069e-08
72,GP_espn,7.941167553415394e-08
73,teamates_with_dpoy,7.850073665335409e-08
74,TOV_100_poss,6.648518922015284e-08
75,FT_opponent,5.927030489322194e-08
76,MIN_nba,5.409643834730811e-08
77,MP,5.375124495054628e-08
78,ORB_opponent,5.2982375575369445e-08
79,DEF RTG_nba,5.2150542330831225e-08
80,STL%_nba,4.943072657057979e-08
81,GS,4.7758204177808516e-08
82,TRB_opponent,3.4038174376305186e-08
83,STL_team,2.5680081857867854e-08
84,FGA_opponent,1.887399142660659e-08
85,G,1.7379994837404822e-08
86,3PA_opponent,1.608933952734759e-08
87,TRB_team,1.4623287920845218e-08
88,AST_opponent,1.159391140384547e-08
89,FTA_opponent,1.0210454513132072e-08
90,AST_team,1.0050600367586537e-08
91,BLK_team,6.179073568459738e-09
92,PF_team,5.461170878365285e-09
93,2PA_opponent,2.7846452123336807e-09
94,W_misc,1.1475718066783491e-09
95,L_misc,1.1475718066783491e-09
96,DRB_team,1.0014203459529636e-09
97,D-LEBRON_bball,0.0
