Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,5T,-1,1,1,2,1,8,-1,2,6,1,1,3,1,1.0,2,3,-1.0,15T,2.0,1.0,1.0,3.0,1.0
2,3,3T,1,-1,-1,1,-1,4,8,1,1,-1.0,2,2.0,14,7.0,1,5.0,-1.0,-1.0,1.0,3.0,9.0,-1.0,3.0
1,2,1,1,3T,11,-1,9,4,-1.0,9,-1,17T,9,5,3.0,-1.0,10T,1,2.0,3,-1,-1.0,-1,-1.0,9T
3,7T,-1,-1,-1,4,-1,4,7,-1.0,7T,-1,4,6.0,1,6,-1.0,4,2,1,-1.0,-1.0,-1.0,5.0,-1,2.0
4,5T,8T,-1,-1,3,6,5,10T,1,-1.0,10,5,16,10,10.0,-1.0,3.0,-1.0,5T,1.0,-1,11,-1,-1.0,6.0
5T,4,-1.0,5T,-1.0,-1.0,-1,18T,3,3,5,-1,14,10.0,4,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,10.0,3,6.0,-1.0
5T,-1.0,7,-1.0,-1,-1.0,7,-1,-1,13T,-1,3,-1.0,-1.0,12T,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2,-1.0,-1,4
-1.0,-1.0,2,11T,-1.0,12,5,3,1,-1,6,8,-1.0,-1.0,-1,21,-1.0,-1.0,-1.0,-1.0,8.0,6T,8T,-1.0,5.0,-1.0
-1,-1.0,-1.0,11T,-1.0,-1.0,-1.0,-1.0,-1,4,-1,-1.0,-1,19T,-1,17T,-1,-1.0,-1.0,-1.0,14.0,-1,6T,6.0,9,-1.0
5T,-1.0,-1.0,3,-1,11,-1.0,10,-1.0,6,-1,2,2,-1.0,-1.0,-1.0,8T,-1.0,4.0,-1.0,-1,-1.0,-1.0,11T,-1.0,-1.0
